,The Working BBA - Enterprise Leadership,The Working BBA - Family Business,The Working BBA - Venture Builder
,,,
,YR 1 - GROWTH YEAR,YR 1 - GROWTH YEAR,YR 1 - GROWTH YEAR
,EDUCATION,EDUCATION,EDUCATION
,"9 Business Challenges
Kickstart | Product Design | Design Thinking | Digital Marketing | Sales | Research Methods | Accounting & Financial Analysis | Spreadsheets (delivered in short 2–4 week sprints across the year)","9 Business Challenges
Kickstart | Product Design | Design Thinking | Digital Marketing | Sales | Research Methods | Accounting & Financial Analysis | Spreadsheets (delivered in short 2–4 week sprints across the year)","9 Business Challenges
Kickstart | Product Design | Design Thinking | Digital Marketing | Sales | Research Methods | Accounting & Financial Analysis | Spreadsheets (delivered in short 2–4 week sprints across the year)"
,"2 Client Engagements
Solving business problems for companies (typically 1–8 weeks each)","2 Client Engagements
Solving business problems for companies (typically 1–8 weeks each)","2 Client Engagements
Solving business problems for companies (typically 1–8 weeks each)"
,"2 Self Paced Skill Tracks
Choose 2 Self-paced specialized tracks for deep skill building","2 Self Paced Skill Tracks
Choose 2 Self-paced specialized tracks for deep skill building","2 Self Paced Skill Tracks
Choose 2 Self-paced specialized tracks for deep skill building"
,"University Subjects*
Principles of Management | Business Communication | Business Accounting | Business Economics – Micro | Business Mathematics | Business Demography | Business Organisations & Systems | Principles of Marketing | Principles of Finance | Basics of Cost Accounting | Business Statistics | Business Informatics","University Subjects (Self-study, content and exams by Univeristy)
Principles of Management | Business Communication | Business Accounting | Business Economics – Micro | Business Mathematics | Business Demography | Business Organisations & Systems | Principles of Marketing | Principles of Finance | Basics of Cost Accounting | Business Statistics | Business Informatics","University Subjects (Self-study, content and exams by Univeristy)
Principles of Management | Business Communication | Business Accounting | Business Economics – Micro | Business Mathematics | Business Demography | Business Organisations & Systems | Principles of Marketing | Principles of Finance | Basics of Cost Accounting | Business Statistics | Business Informatics"
,"* Note: 
1. Lectures / Exams on University subjects are not provided by Let's Enterprise.
2. Student is expected to conduct self-study for University subjects
3. Important and relevant topics from subjects are incorporated in The Working BBA Curriculum","* Note: 
1. Lectures / Exams on University subjects are not provided by Let's Enterprise.
2. Student is expected to conduct self-study for University subjects
3. Important and relevant topics from subjects are incorporated in The Working BBA Curriculum","* Note: 
1. Lectures / Exams on University subjects are not provided by Let's Enterprise.
2. Student is expected to conduct self-study for University subjects
3. Important and relevant topics from subjects are incorporated in The Working BBA Curriculum"
,,,
,EXPERIENCE,EXPERIENCE,EXPERIENCE
,"Apprenticeship 1
Professional experience in a company, supervised by industry mentors (2 months)","Apprenticeship 1
Professional experience in a company, supervised by industry mentors (2 months)","Apprenticeship 1
Professional experience in a company, supervised by industry mentors (2 months)"
,,,
,AWARENESS,AWARENESS,AWARENESS
,"Outdoor immersion & team bonding
Self Awareness Workshop (3 days) + Rural Project (5 days)","Outdoor immersion & team bonding
Self Awareness Workshop (3 days) + Rural Project (5 days)","Outdoor immersion & team bonding
Self Awareness Workshop (3 days) + Rural Project (5 days)"
